scope,encoder,metric,k,value,n_subjects,n_segments,n_dims,use_pca
global,cbramod,dbi,14,0.9790151367076857,200,74540,200,False
global,cbramod,dbi,15,0.8734729070618752,200,74540,200,False
global,cbramod,dbi,16,0.8711751693754507,200,74540,200,False
global,cbramod,dbi,17,0.8912903616239249,200,74540,200,False
global,cbramod,dbi,18,0.9126082369497401,200,74540,200,False
global,cbramod,dbi,19,0.9508903275048652,200,74540,200,False
global,cbramod,dbi,20,1.0067858409432235,200,74540,200,False
global,cbramod,wcss,3,7183722.430437618,200,74540,200,False
global,cbramod,wcss,4,6074325.761413355,200,74540,200,False
global,cbramod,wcss,5,5597006.162000679,200,74540,200,False
global,cbramod,wcss,6,4868230.771908934,200,74540,200,False
global,cbramod,wcss,7,4708709.07558175,200,74540,200,False
global,cbramod,wcss,8,4338338.289702594,200,74540,200,False
global,cbramod,wcss,9,4127504.649282298,200,74540,200,False
global,cbramod,wcss,10,4130496.1593693253,200,74540,200,False
global,cbramod,wcss,11,3830202.0787468785,200,74540,200,False
global,cbramod,wcss,12,3640543.554569622,200,74540,200,False
global,cbramod,wcss,13,3588208.4040381927,200,74540,200,False
global,cbramod,wcss,14,3460570.672418935,200,74540,200,False
global,cbramod,wcss,15,3174816.5234400225,200,74540,200,False
global,cbramod,wcss,16,2939133.995005275,200,74540,200,False
global,cbramod,wcss,17,2883147.5544275395,200,74540,200,False
global,cbramod,wcss,18,2846597.40592861,200,74540,200,False
global,cbramod,wcss,19,2825145.6022675843,200,74540,200,False
global,cbramod,wcss,20,2805772.4112693365,200,74540,200,False
global,cbramod,norm_entropy,3,0.03448981767350721,200,74540,200,False
global,cbramod,norm_entropy,4,0.10812304508372311,200,74540,200,False
global,cbramod,norm_entropy,5,0.10682424452652878,200,74540,200,False
global,cbramod,norm_entropy,6,0.09717405450552556,200,74540,200,False
global,cbramod,norm_entropy,7,0.12033743255568086,200,74540,200,False
global,cbramod,norm_entropy,8,0.09639413329443784,200,74540,200,False
global,cbramod,norm_entropy,9,0.09075749336052921,200,74540,200,False
